	tax1	tax2	tax3	spname	nucleotides	orfs	enzymes	rnas
prw	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Psychrobacter sp. PRwf-1	2995049	2385	609	75
pso	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Psychrobacter sp. G	3113999	2614	653	60
pur	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Psychrobacter urativorans	2931580	2359	587	71
pali	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Psychrobacter alimentarius	3349444	2677	647	67
pspg	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Psychrobacter sp. P2G3	3366617	2623	655	61
psyg	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Psychrobacter sp. P11G5	3519144	2755	650	61
psyc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Psychrobacter sp. DAB_AL43B	3309148	2769	631	60
acb	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii ATCC 17978	4001457	3803	703	84
abm	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii SDF	3477996	2975	625	87
aby	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii AYE	4048735	3712	724	101
abc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii ACICU	3996761	3759	712	82
abn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii AB0057	4059242	3801	721	91
abb	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii AB307-0294	3760981	3458	710	91
abx	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii 1656-2	4023106	3824	714	89
abz	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii MDR-ZJ06	4011434	3888	712	87
abr	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii MDR-TJ	4153407	3936	721	96
abd	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii TCDC-AB0715	4218013	3956	716	54
abh	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii TYTH-1	3957368	3683	709	88
abad	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii D1279779	3711700	3396	710	83
abj	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii BJAB07104	4042229	3861	715	92
abab	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii BJAB0715	4053889	3908	724	91
abaj	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii BJAB0868	4005822	3819	715	93
abaz	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii ZW85-1	3925246	3635	727	87
abk	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii AbH12O-A2	3875775	3526	719	91
abau	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii AB030	4335793	4132	721	92
abaa	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii AB031	3803317	3456	708	92
abw	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii AC29	3935134	3662	716	67
abal	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter baumannii LAC-4	3968436	3805	719	91
acc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter pittii	3862530	3599	732	75
ano	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter nosocomialis	4061750	3672	717	91
acd	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter oleivorans	4152543	3874	731	89
aci	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter sp. ADP1	3598621	3277	693	107
att	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter sp. TTH0-4	2962453	2680	597	102
aei	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter equi	3054269	2707	634	109
ajo	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter johnsonii	4081329	3642	649	105
acw	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter sp. DUT-2	4072672	3374	659	96
acv	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter sp. TGL-Y2	3691287	3349	607	104
ahl	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter haemolyticus	3538838	3178	628	97
ajn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter junii	3378307	3003	628	96
asol	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter soli	3636349	3309	688	100
ala	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter larvae	3741098	3148	633	102
asj	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acinetobacter schindleri	3268053	3021	634	105
mct	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Moraxella catarrhalis BBH18	1863286	1886	520	62
mcs	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Moraxella catarrhalis 25240	1941566	1711	521	62
mcat	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Moraxella catarrhalis 25239	1887974	1665	521	63
moi	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Moraxella ovis	2306095	1932	534	62
mos	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Moraxella osloensis	2649137	2254	583	63
mbl	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Moraxella bovoculi	2243615	1848	532	62
son	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella oneidensis	5131424	4214	756	143
sdn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella denitrificans	4545906	3754	721	127
sfr	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella frigidimarina	4845257	4029	760	133
saz	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella amazonensis	4306142	3645	778	130
sbl	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella baltica OS155	5342896	4489	764	141
sbm	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella baltica OS185	5312910	4394	775	140
sbn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella baltica OS195	5547544	4688	773	143
sbp	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella baltica OS223	5358884	4443	781	143
sbt	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella baltica OS678	5368767	4536	772	137
sbs	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella baltica OS117	5526018	4668	764	130
sbb	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella baltica BA175	5199401	4344	775	141
slo	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella loihica	4602594	3859	779	124
spc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella putrefaciens CN-32	4659220	3972	754	129
shp	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella putrefaciens 200	4840251	4179	754	132
sse	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella sediminis	5517674	4497	799	165
spl	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella pealeana	5174581	4241	804	180
she	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella sp. MR-4	4706287	3924	772	141
shm	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella sp. MR-7	4799109	4014	768	144
shn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella sp. ANA-3	5251146	4360	775	134
shw	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella sp. W3-18-1	4708380	4044	760	129
shl	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella halifaxensis	5226917	4278	816	158
swd	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella woodyi	5935403	4880	837	165
swp	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella piezotolerans	5396476	4933	773	114
svo	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Shewanella violacea	4962103	4346	769	169
ilo	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Idiomarina loihiensis L2TR	2839318	2628	621	71
ili	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Idiomarina loihiensis GSL 199	2839759	2649	625	68
cps	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Colwellia psychrerythraea	5373180	4910	764	117
com	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Colwellia sp. MT41	4337945	3504	698	109
coz	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Colwellia sp. PAMC 20917	4683314	3803	707	96
colw	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Colwellia sp. PAMC 21821	4884300	3918	767	101
pha	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Pseudoalteromonas haloplanktis	3850272	3486	732	134
pat	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Pseudoalteromonas atlantica	5187005	4281	799	79
psm	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Pseudoalteromonas sp. SM9913	4037671	3712	718	87
pseo	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Pseudoalteromonas sp. OCN003	4815987	4003	734	118
pia	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Pseudoalteromonas issachenkonii	4131541	3538	722	130
pphe	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Pseudoalteromonas phenolica	4868993	4168	743	148
pbw	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Pseudoalteromonas sp. Bsw20308	4830226	4037	755	126
prr	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Pseudoalteromonas rubra	5913780	4724	746	147
ptn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Pseudoalteromonas translucida	4147593	3809	737	134
plz	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Pseudoalteromonas luteoviolacea	6223983	4917	761	169
paln	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Pseudoalteromonas aliena	4594697	3854	714	139
maq	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinobacter hydrocarbonoclasticus VT8	4779762	4272	715	63
mhc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinobacter hydrocarbonoclasticus ATCC 49840	3989480	3804	721	59
mad	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinobacter adhaerens	4651725	4410	744	60
mbs	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinobacter sp. BSs20148	4063864	3887	754	57
msr	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinobacter salarius	4616532	3168	522	48
msx	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinobacter similis	3975896	2692	460	50
mpq	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinobacter psychrophilus	3998597	3450	746	59
mari	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinobacter sp. CP1	4768422	4173	748	60
mlq	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinobacter sp. LQ44	4435564	3905	717	63
msq	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinobacter salinus	4121005	3700	737	64
amc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas mediterranea DE	4480937	3965	727	77
amh	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas mediterranea 615	4582352	3560	670	84
amaa	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas mediterranea DE1	4947126	4321	762	84
amal	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas mediterranea U4	4624578	4084	754	76
amae	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas mediterranea U7	4442936	3856	757	75
amao	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas mediterranea U8	4395035	3795	762	78
amad	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas mediterranea UM4b	4438767	3868	742	74
amai	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas mediterranea UM7	4931660	4330	763	80
amag	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas mediterranea MED64	4397537	3815	752	83
amac	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas macleodii ATCC 27126	4653851	3872	756	69
amb	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas macleodii Balearic Sea AD45	4674885	3966	762	88
amg	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas macleodii English Channel 673	4601785	3888	757	91
amk	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas macleodii Black Sea 11	4480507	3772	751	86
alt	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas naphthalenivorans	4972148	4371	767	74
aal	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas australica H 17	4308833	3445	743	72
aaus	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas australica DE170	4457472	3158	666	83
asp	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas stellipolaris LMG 21856	4686200	3995	769	73
asq	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas stellipolaris LMG 21861	4904192	4078	770	76
aaw	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alteromonas addita	4649146	3855	774	76
gag	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Glaciecola sp. 4H-3-7+YE-5	5393591	4547	803	79
gni	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Glaciecola nitratireducens	4134229	3654	724	66
gps	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Paraglaciecola psychrophila	5413691	5618	799	77
lal	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Lacimicrobium alkaliphilum	4378835	3760	759	68
pin	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Psychromonas ingrahamii	4559598	3545	768	119
psy	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Psychromonas sp. CNPT3	3052410	2580	641	119
fbl	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Ferrimonas balearica	4279159	3782	766	144
mvs	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Moritella viscosa	5093989	4280	771	425
cja	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Cellvibrio japonicus	4576573	3754	677	58
ceb	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Cellvibrio sp. PSBB023	4705304	3906	690	69
sde	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Saccharophagus degradans	5057531	4007	681	50
ttu	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Teredinibacter turnerae	5193164	4255	730	54
saga	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Simiduia agarivorans	4300227	3820	733	50
spoi	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Spongiibacter sp. IMCC21906	3481669	3210	676	53
zal	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Zhongshania aliphaticivorans	4204359	3664	714	57
osg	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Oceanicoccus sagamiensis	4472079	3878		50
mthd	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Microbulbifer thermotolerans	3938396	3145	702	61
micc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Microbulbifer sp. CCB-MM1	3864326	3294	677	93
maga	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Microbulbifer agarilyticus	4255625	3458	712	63
hja	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halioglobus japonicus	4116357	3581	671	52
cbu	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Coxiella burnetii RSA 493	2032807	1833	449	45
cbs	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Coxiella burnetii RSA 331	2053744	1975	440	48
cbd	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Coxiella burnetii Dugway 5J108-111	2212937	2045	459	45
cbg	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Coxiella burnetii CbuG_Q212	2008870	1871	447	45
cbc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Coxiella burnetii CbuK_Q154	2102380	1947	453	45
cea	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Coxiella endosymbiont of Amblyomma americanum	656901	537	267	43
cey	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Coxiella-like endosymbiont	1733840	912	323	51
lpn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella pneumophila subsp. pneumophila Philadelphia 1	3397754	2943	598	52
lph	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella pneumophila subsp. pneumophila HL06041035	3492535	3059	600	52
lpo	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella pneumophila subsp. pneumophila Lorraine	3617686	3221	604	53
lpu	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella pneumophila subsp. pneumophila LPE509	3507714	3331	598	52
lpm	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella pneumophila subsp. pneumophila Thunder Bay	3455167	2998	601	43
lpf	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella pneumophila Lens	3405519	2934	590	54
lpp	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella pneumophila Paris	3635495	3166	607	54
lpc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella pneumophila Corby	3576470	3204	599	53
lpa	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella pneumophila 2300/99 Alcoy	3516334	3191	605	53
lpe	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella pneumophila subsp. pneumophila ATCC 43290	3359001	2942	601	52
llo	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella longbeachae	4149158	3470	626	57
lfa	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella fallonii	4434890	3850	630	64
lha	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella hackeliae	3570857	3218	604	62
lok	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Legionella oakridgensis	2773209	2932	565	51
tmc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Tatlockia micdadei	3310028	2998	596	56
mca	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Methylococcus capsulatus	3304561	2960	653	54
mmt	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Methylomonas methanica	5051681	4494	675	59
mdn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Methylomonas denitrificans	5172098	4550	688	60
mdh	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Methylomonas sp. DH-1	5127407	4385	672	60
mah	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Methylomicrobium alcaliphilum	4796711	4086	687	76
ftu	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. tularensis SCHU S4	1892775	1556	444	49
ftq	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. tularensis SCHU S4 NR-28534	1888434	2094	479	48
ftf	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. tularensis FSC198	1892616	1605	444	48
ftw	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. tularensis WY96-3418	1898476	1634	448	52
ftr	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. tularensis NE061598	1892681	1836	460	48
ftt	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. tularensis TI0902	1892744	1544	446	48
fty	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. tularensis WY96	2047033	1947	489	48
ftg	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. tularensis TIGB03	1968651	1624	446	49
ftl	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. holarctica LVS	1895994	1754	459	52
fth	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. holarctica OSU18	1895727	1555	439	49
fta	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. holarctica FTNF002-00	1890909	1580	441	51
fts	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. holarctica F92	1886888	1842	456	48
fti	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. holarctica FSC200	1894157	1438	434	48
fto	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. holarctica PHIT-FT049	1881193	1670	436	49
ftc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. holarctica FTT_1	1892782	2098	481	48
ftv	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. holarctica VT68	1893733	2105	482	48
ftz	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. holarctica 425	1894186	2098	482	48
ftm	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. mediasiatica FSC147	1893886	1406	431	47
ftn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. novicida U112	1910031	1719	479	48
ftx	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. novicida U112	1910592	1782	480	48
ftd	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella tularensis subsp. novicida F6168	1927240	1797	488	48
fcf	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella cf. novicida Fx1	1913619	1818	493	45
fcn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella cf. tularensis subsp. novicida 3523	1945310	1854	506	44
fph	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella philomiragia subsp. philomiragia ATCC 25017	2049711	1915	523	48
fpt	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella philomiragia subsp. philomiragia ATCC 25015 O#319L	2017400	1843	514	49
fpi	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella philomiragia O#319-029	2044934	1935	523	49
fpm	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella philomiragia O#319-036	1924061	1815	510	49
fpx	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella philomiragia O#319-067	2049711	1951	523	49
fpz	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella philomiragia GA01-2794	2152054	2044	518	50
fpj	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella philomiragia GA01-2801	2033714	1954	516	49
frt	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella sp. TX077308	2035931	1976	530	46
fna	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella noatunensis subsp. orientalis Toba 04	1847202	1595	457	39
fnl	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella noatunensis subsp. orientalis LADL--07-285A	1858987	1624	454	50
frf	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella sp. FSC1006	2015987	1831	460	49
fper	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella persica	1516676	1070	381	43
fhi	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Francisella hispaniensis	1938636	1702	479	52
fgu	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Allofrancisella guangzhouensis	1661527	1423	430	49
tcx	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thiomicrospira crunogena	2427734	2196	560	55
tcy	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thioalkalimicrobium cyclicum	1932455	1665	535	51
tao	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thioalkalimicrobium aerophilum	2158359	2071	542	49
mej	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Methylophaga nitratireducenticrescens	3137191	3023	619	53
mec	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Methylophaga frappieri	2745290	2691	585	50
cyq	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Cycloclasticus sp. P1	2363215	2248	592	38
cza	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Cycloclasticus zancles	2655425	2584	615	39
psal	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Piscirickettsia salmonis	3450064	3155	506	75
tig	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thioploca ingrica	4810005	3964	604	47
blep	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Beggiatoa leptomitiformis	4265296	3160	624	54
noc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Nitrosococcus oceani	3522111	3017	647	54
nhl	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Nitrosococcus halophilus	4145260	3817	667	55
nwa	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Nitrosococcus watsonii	3373286	2908	631	55
alv	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Allochromatium vinosum	3669074	3220	666	64
tvi	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thiocystis violascens	5017071	4330	688	64
tmb	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thioflavicoccus mobilis	4137521	3562	679	57
mpur	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marichromatium purpuratum	3779112	3256	690	65
tee	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Tenderia electrophaga	3763866	3349	639	45
aeh	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alkalilimnicola ehrlichii	3275944	2865	646	57
hha	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halorhodospira halophila	2678452	2407	646	55
hhc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halorhodospira halochloris	3460134	2984	635	50
tgr	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thioalkalivibrio sulfidiphilus	3464554	3283	614	51
tkm	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thioalkalivibrio sp. K90mix	2985056	2855	601	55
tni	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thioalkalivibrio nitratireducens	4002350	3780	657	48
tti	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thioalkalivibrio thiocyanoxidans	3756729	3418	653	49
tvr	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thioalkalivibrio versutus	2969361	2672	598	49
ssal	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Spiribacter salinus	1739487	1684	554	48
spiu	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Spiribacter sp. UAH-SP71	1926631	1862	581	48
ebs	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Ectothiorhodospira sp. BSL-9	3550080	2963	661	53
aprs	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Acidihalobacter prosperus	3566941	3233	625	54
hna	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halothiobacillus neapolitanus	2582886	2357	563	52
haz	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halothiobacillus sp. LS2	2908964	2525	593	53
wma	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Wenzhouxiangella marina	3675202	3026	617	49
woc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Woeseia oceani	4059891	3571	687	52
hch	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Hahella chejuensis	7215267	6778	832	82
csa	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Chromohalobacter salexigens	3696649	3298	767	86
hel	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halomonas elongata	4061296	3472	824	82
hcs	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halomonas campaniensis	4074048	3552	818	79
hak	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halomonas sp. KO116	5168360	4814	868	81
